Nrun,Variant,Input,Score,Nregions,EvaluatedRegions,EvaluatedCombinations,Totaltime,SuggestedRegions,SuggestedDuration,SuggestedBudget
3,1,3,19.0,1,114,203,75.95,Mexico Yucatan,Mexico Yucatan-1.0,Mexico Yucatan-415.0
3,1,3,37.0,2,114,203,75.95,Algeria; Morocco,Algeria; Morocco-1.0; 1.0,Algeria; Morocco-450.0; 390.0
3,1,3,17.0,1,114,203,75.95,Costa Rica,Costa Rica-1.0,Costa Rica-400.0
4,1,3,19.0,1,124,235,72.89,Greater Antilles without Cuba,Greater Antilles without Cuba-1.0,Greater Antilles without Cuba-575.0
4,1,3,37.0,2,124,235,72.89,Philippines; West Malaysia and Singapur,Philippines; West Malaysia and Singapur-2.0; 1.0,Philippines; West Malaysia and Singapur-375.0; 510.0
4,1,3,18.0,1,124,235,72.89,Benelux,Benelux-1.0,Benelux-420.0
4,1,3,19.0,1,124,235,72.89,Papua New Guinea,Papua New Guinea-2.0,Papua New Guinea-750.0
0,2,1,17.0,1,42,215,72.75,New Zealand,New Zealand-2.0,New Zealand-490.0
0,2,1,32.0,2,42,215,72.75,Brazil; Brazil Southeast,Brazil; Brazil Southeast-1.0; 1.0,Brazil; Brazil Southeast-625.0; 0.0
0,2,1,32.0,2,42,215,72.75,East Asia; Russland and Caucasus,East Asia; Russland and Caucasus-1.0; 1.0,East Asia; Russland and Caucasus-450.0; 0.0
0,2,1,47.0,3,42,215,72.75,Central Asia; East Asia; Russland and Caucasus,Central Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Central Asia; East Asia; Russland and Caucasus-350.0; 450.0; 0.0
1,2,1,32.0,2,41,210,69.05,Indonesia; Sumatra and Java,Indonesia; Sumatra and Java-2.0; 1.0,Indonesia; Sumatra and Java-400.0; 0.0
1,2,1,17.0,1,41,210,69.05,United Arab Emirates,United Arab Emirates-1.0,United Arab Emirates-525.0
1,2,1,32.0,2,41,210,69.05,Indonesia; Sumatra and Java,Indonesia; Sumatra and Java-2.0; 1.0,Indonesia; Sumatra and Java-400.0; 0.0
1,2,1,16.0,1,41,210,69.05,Australia,Australia-1.0,Australia-560.0
2,2,1,16.0,1,41,245,66.57,Ecuador,Ecuador-1.0,Ecuador-350.0
2,2,1,31.0,2,41,245,66.57,Mexico; USA,Mexico; USA-1.0; 1.0,Mexico; USA-375.0; 600.0
2,2,1,16.0,1,41,245,66.57,Slovenia and Croatia,Slovenia and Croatia-1.0,Slovenia and Croatia-350.0
3,2,1,17.0,1,42,241,63.6,United Arab Emirates,United Arab Emirates-1.0,United Arab Emirates-525.0
3,2,1,32.0,2,42,241,63.6,USA; USA Pacific Northwest,USA; USA Pacific Northwest-1.0; 1.0,USA; USA Pacific Northwest-600.0; 0.0
3,2,1,16.0,1,42,241,63.6,British Islands,British Islands-1.0,British Islands-420.0
4,2,1,31.0,2,42,312,73.22,Argentina; Ecuador,Argentina; Ecuador-1.0; 1.0,Argentina; Ecuador-400.0; 350.0
4,2,1,32.0,2,42,312,73.22,Australia; Pacific,Australia; Pacific-1.0; 1.0,Australia; Pacific-560.0; 0.0
4,2,1,31.0,2,42,312,73.22,Southern Europe; British Islands,Southern Europe; British Islands-1.0; 1.0,Southern Europe; British Islands-350.0; 420.0
4,2,1,31.0,2,42,312,73.22,Southern Europe; British Islands,Southern Europe; British Islands-1.0; 1.0,Southern Europe; British Islands-350.0; 420.0
4,2,1,16.0,1,42,312,73.22,Sweden and Denmark,Sweden and Denmark-1.0,Sweden and Denmark-525.0
0,2,2,18.0,2,65,197,107.04,Central Europe; Eastern Europe,Central Europe; Eastern Europe-1.0; 1.0,Central Europe; Eastern Europe-0.0; 350.0
0,2,2,20.0,2,65,197,107.04,Slovenia and Croatia; Germany,Slovenia and Croatia; Germany-1.0; 1.0,Slovenia and Croatia; Germany-350.0; 420.0
0,2,2,20.0,2,65,197,107.04,Benelux; Germany,Benelux; Germany-1.0; 1.0,Benelux; Germany-420.0; 420.0
0,2,2,20.0,2,65,197,107.04,Slovenia and Croatia; Benelux,Slovenia and Croatia; Benelux-1.0; 1.0,Slovenia and Croatia; Benelux-350.0; 420.0
1,2,2,9.0,1,66,210,96.85,Eastern Europe,Eastern Europe-1.0,Eastern Europe-350.0
1,2,2,10.0,1,66,210,96.85,Lebanon and Syria,Lebanon and Syria-1.0,Lebanon and Syria-350.0
1,2,2,10.0,1,66,210,96.85,Slovenia and Croatia,Slovenia and Croatia-1.0,Slovenia and Croatia-350.0
2,2,2,20.0,2,67,254,91.08,Slovenia and Croatia; Benelux,Slovenia and Croatia; Benelux-1.0; 1.0,Slovenia and Croatia; Benelux-350.0; 420.0
2,2,2,10.0,1,67,254,91.08,Greater Antilles without Cuba,Greater Antilles without Cuba-1.0,Greater Antilles without Cuba-575.0
2,2,2,9.0,1,67,254,91.08,Indonesia,Indonesia-2.0,Indonesia-400.0
3,2,2,20.0,2,64,242,75.16,Israel; United Arab Emirates,Israel; United Arab Emirates-1.0; 1.0,Israel; United Arab Emirates-420.0; 525.0
3,2,2,9.0,1,64,242,75.16,Mongolia,Mongolia-2.0,Mongolia-350.0
3,2,2,9.0,1,64,242,75.16,British Islands,British Islands-1.0,British Islands-420.0
4,2,2,10.0,1,68,283,64.57,Sweden and Denmark,Sweden and Denmark-1.0,Sweden and Denmark-525.0
4,2,2,18.0,2,68,283,64.57,Central Europe; British Islands,Central Europe; British Islands-1.0; 1.0,Central Europe; British Islands-0.0; 420.0
4,2,2,10.0,1,68,283,64.57,Paraguay,Paraguay-1.0,Paraguay-400.0
4,2,2,10.0,1,68,283,64.57,Oman and Yemen,Oman and Yemen-1.0,Oman and Yemen-490.0
4,2,2,10.0,1,68,283,64.57,Sweden and Denmark,Sweden and Denmark-1.0,Sweden and Denmark-525.0
0,2,3,32.0,2,83,233,69.3,Paraguay; Ecuador,Paraguay; Ecuador-1.0; 1.0,Paraguay; Ecuador-400.0; 350.0
0,2,3,33.0,2,83,233,69.3,Paraguay; Colombia,Paraguay; Colombia-1.0; 2.0,Paraguay; Colombia-400.0; 350.0
0,2,3,31.0,2,83,233,69.3,Ecuador; Colombia,Ecuador; Colombia-1.0; 2.0,Ecuador; Colombia-350.0; 350.0
1,2,3,17.0,1,83,281,58.65,Germany,Germany-1.0,Germany-420.0
1,2,3,33.0,2,83,281,58.65,Bolivia; Brazil,Bolivia; Brazil-1.0; 1.0,Bolivia; Brazil-310.0; 625.0
2,2,3,17.0,1,85,216,61.79,China Northwest (Shaanxi to Xinjiang),China Northwest (Shaanxi to Xinjiang)-1.0,China Northwest (Shaanxi to Xinjiang)-500.0
2,2,3,31.0,2,85,216,61.79,Argentina; Colombia,Argentina; Colombia-1.0; 2.0,Argentina; Colombia-400.0; 350.0
2,2,3,16.0,1,85,216,61.79,British Islands,British Islands-1.0,British Islands-420.0
3,2,3,34.0,2,84,262,60.46,Zambia and Malawi; Mozambique and Zimbabwe,Zambia and Malawi; Mozambique and Zimbabwe-1.0; 1.0,Zambia and Malawi; Mozambique and Zimbabwe-450.0; 350.0
3,2,3,17.0,1,84,262,60.46,Slovenia and Croatia,Slovenia and Croatia-1.0,Slovenia and Croatia-350.0
4,2,3,32.0,2,83,246,55.25,Colombia; Venezuela,Colombia; Venezuela-2.0; 1.0,Colombia; Venezuela-350.0; 390.0
4,2,3,16.0,1,83,246,55.25,Norway,Norway-1.0,Norway-560.0
0,3,1,33.0,2,31,199,141.52,North Europe; British Islands,North Europe; British Islands-1.0; 1.0,North Europe; British Islands-0.0; 420.0
0,3,1,33.0,2,31,199,141.52,North Europe; British Islands,North Europe; British Islands-1.0; 1.0,North Europe; British Islands-0.0; 420.0
0,3,1,32.0,2,31,199,141.52,Indonesia; Sumatra and Java,Indonesia; Sumatra and Java-2.0; 1.0,Indonesia; Sumatra and Java-400.0; 0.0
0,3,1,48.0,3,31,199,141.52,Brazil; Brazil South; Brazil Southeast,Brazil; Brazil South; Brazil Southeast-1.0; 1.0; 1.0,Brazil; Brazil South; Brazil Southeast-625.0; 0.0; 0.0
0,3,1,48.0,3,31,199,141.52,Southeast Asia; East Asia; Russland and Caucasus,Southeast Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Southeast Asia; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
